Time:,Reading:
1595561288.843381,14
1595561288.842381,75
1595561288.841381,16
1595561288.840381,75
1595561288.839381,75
1595561288.838381,90
1595561288.837381,31
1595561288.836381,59
1595561288.835381,66
1595561288.834381,48
1595561288.833381,72
1595561288.832381,95
1595561288.831381,26
1595561288.830381,24
1595561288.829381,50
1595561288.828381,19
1595561288.827381,2
1595561288.826381,8
1595561288.825381,98
1595561288.824381,6
1595561288.823381,69
1595561288.822381,85
1595561288.821381,10
1595561288.820381,22
1595561288.819381,66
1595561288.818381,23
1595561288.817381,91
1595561288.816381,83
1595561288.815381,16
1595561288.814381,12
1595561288.813381,19
1595561288.812381,87
1595561288.811381,17
1595561288.810381,20
1595561288.809381,66
1595561288.808381,24
1595561288.807381,98
1595561288.806381,5
1595561288.805381,75
1595561288.804381,91
1595561288.803381,93
1595561288.802381,62
1595561288.801381,43
1595561288.800381,85
1595561288.799381,9
1595561288.798381,44
1595561288.797381,57
1595561288.796381,81
1595561288.795381,23
1595561288.794381,36
1595561288.793381,79
1595561288.792381,94
1595561288.791381,85
1595561288.790381,57
1595561288.789381,38
1595561288.788381,44
1595561288.787381,52
1595561288.786381,85
1595561288.785381,100
1595561288.784381,16
1595561288.783381,52
1595561288.782381,64
1595561288.781381,70
1595561288.780381,70
1595561288.779381,49
1595561288.778381,38
1595561288.777381,6
1595561288.776381,52
1595561288.775381,83
1595561288.774381,35
1595561288.773381,89
1595561288.772381,1
1595561288.771381,61
1595561288.770381,57
1595561288.769381,25
1595561288.768381,53
1595561288.767381,41
1595561288.766381,95
1595561288.765381,13
1595561288.764381,14
1595561288.763381,45
1595561288.762381,67
1595561288.761381,69
1595561288.760381,54
1595561288.759381,1
1595561288.758381,54
1595561288.757381,12
1595561288.756381,78
1595561288.755381,32
1595561288.754381,59
1595561288.753381,37
1595561288.752381,12
1595561288.751381,7
1595561288.750381,10
1595561288.749381,35
1595561288.748381,53
1595561288.747381,88
1595561288.746381,97
1595561288.745381,35
1595561288.744381,21
